Vete,11.5,89,lysin,0.4,2.6,0.9,1000
Korn,11.1,80,lysin,0.5,2.9,1.0,1000
Majs,11.8,58,lysin,0.1,2.6,1.2,1000
Havre,9.6,84,lysin,0.9,3,1,1000
Svarthavre,9.6,80,lysin,0.9,3,1,1000
Vetekli,8.6,109,lysin,0.9,9.5,4.0,1000
betfor,11.2,59,lysin,8,1,1.3,1000
Lusernpellets,8.9,120,lysin,15,3,3,1000
Sojamjöl,11.9,432,lysin,2.8,6.4,2.4,0.1
Linfökaka,9.8,255,lysin,4,7.8,3.8,1000
Ärtor,11.2,176,lysin,1.1,3.2,1.2,1000
Foderkalk,0,0,0,350,0,0,0.1
